Date,Open,High,Low,Close,Volume
11/09/2024 16:00:00,221.46,223.09,217.89,222.66,44587072
12/09/2024 16:00:00,222.5,223.55,219.82,222.77,37498225
13/09/2024 16:00:00,223.58,224.04,221.91,222.5,36766619
16/09/2024 16:00:00,216.54,217.22,213.92,216.32,59357427
17/09/2024 16:00:00,215.75,216.9,214.5,216.79,45519339
18/09/2024 16:00:00,217.55,222.71,217.54,220.69,59894928
19/09/2024 16:00:00,224.99,229.82,224.63,228.87,66781315
20/09/2024 16:00:00,229.97,233.09,227.62,228.2,318679888
23/09/2024 16:00:00,227.34,229.45,225.81,226.47,54146023
24/09/2024 16:00:00,228.65,229.35,225.73,227.37,43556068
25/09/2024 16:00:00,224.93,227.29,224.02,226.37,42308715
26/09/2024 16:00:00,227.3,228.5,225.41,227.52,36636707
27/09/2024 16:00:00,228.46,229.52,227.3,227.79,34025967
30/09/2024 16:00:00,230.04,233,229.65,233,54793391
01/10/2024 16:00:00,229.52,229.65,223.74,226.21,63285048
02/10/2024 16:00:00,225.89,227.37,223.02,226.78,32880605
03/10/2024 16:00:00,225.14,226.81,223.32,225.67,34044158
04/10/2024 16:00:00,227.9,228,224.13,226.8,37345098
07/10/2024 16:00:00,224.5,225.69,221.33,221.69,39505354
08/10/2024 16:00:00,224.3,225.98,223.25,225.77,31855693
09/10/2024 16:00:00,225.23,229.75,224.83,229.54,33591091
10/10/2024 16:00:00,227.78,229.5,227.17,229.04,28183544
11/10/2024 16:00:00,229.3,229.41,227.34,227.55,31759188
14/10/2024 16:00:00,228.7,231.73,228.6,231.3,39882085
15/10/2024 16:00:00,233.61,237.49,232.37,233.85,64751367
16/10/2024 16:00:00,231.6,232.12,229.84,231.78,34082240
17/10/2024 16:00:00,233.43,233.85,230.52,232.15,32993810
18/10/2024 16:00:00,236.18,236.18,234.01,235,46431472
21/10/2024 16:00:00,234.45,236.85,234.45,236.48,36254470
22/10/2024 16:00:00,233.89,236.22,232.6,235.86,38846578
23/10/2024 16:00:00,234.08,235.14,227.76,230.76,52286979
24/10/2024 16:00:00,229.98,230.82,228.41,230.57,31109503
25/10/2024 16:00:00,229.74,233.22,229.57,231.41,38802304
28/10/2024 16:00:00,233.32,234.73,232.55,233.4,36087134
29/10/2024 16:00:00,233.1,234.33,232.32,233.67,35417247
